question,ground_truths,answer,contexts
Does local law 144 target developers or deployers?,"An employer or employment agency can provide notice to candidates for employment by posting it on their website, including it in a job posting, or sending it via U.S. mail or email at least 10 business days before using an AEDT.","Local Law 144 targets employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool in New York City. It therefore applies to the deployers of the tool however, vendors, who are the developers of the tools, are allowed to get an independent audit of their tool or coordinate the collection of data to conduct an audit. Therefore, liability is with the deployer but commissioning a bias audit can be collaborative between developers and deployers","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
What is a simplified output under local law 144?,The distribution date of an AEDT must be provided in a clear and conspicuous manner on the employment section of the employer or employment agency's website.,"A simplified output is  a prediction or classification that  may take the form of a score (e.g., rating a candidateÕs estimated technical skills), tag or categorization (e.g., categorizing a candidateÕs resume based on key words, assigning a skill or trait to a candidate), recommendation (e.g., whether a candidate should be given an interview), or ranking (e.g., arranging a list of candidates based on how well their cover letters match the job description). It does note include the output from analytical tools that translate or transcribe existing text, e.g., convert a resume from a PDF or transcribe a video or audio interview.","(c) To comply with § 20-871(b)(2) of the Code, an employer or employment agency must provide the distribution date of the AEDT in a clear and conspicuous manner on the employment section of its website."
"What is meant by ""Test Data"" in the context of a bias audit?","The notice requirement for AEDT use for candidates and employees includes providing notice on the website, in a job posting, or via U.S. mail or email at least 10 business days before use. For employees being considered for promotion, notice can also be provided in a written policy or procedure.","""Test data"" refers to data used to conduct a bias audit that is not historical data collected during the employer or employment agency's use of an AEDT.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT.

(c) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to an employee being considered for promotion who resides in the city by doing any of the following:

(1) Provide notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice via U.S. mail or e-mail at least 10 business days before use of an AEDT."
How will DCWP handle discrimination complaints related to AEDT use?,"An employer or employment agency can provide notice to candidates for employment by posting it on their website, including it in a job posting, or sending it via U.S. mail or email at least 10 business days before using an AEDT.",DCWP enforces the Law's prohibition on AEDT use without a bias audit and required notices. Discrimination claims related to AEDT use should be directed to the NYC Commission on Human Rights.,"(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
Can an employer or agency use an automated employment decision tool without making bias audit results publicly available?,"Penalties for non-compliance with the AEDT requirements include a civil penalty of up to $500 for the first violation and each additional violation on the same day, and a penalty between $500 and $1,500 for each subsequent violation.","No, the law requires the results of the most recent bias audit and the distribution date of the tool to be made publicly available on the employer or agency's website before the tool's use.","Penalties. Any employer or employment agency that violates any provision of this subchapter shall be subject to a civil penalty of not more than $500 for the first violation, and each additional violation occurring on the same day as the first violation, and for each subsequent violation, a civil penalty of not less than $500 nor more than $1,500."
Who must notice be given to under local law 144?,"An Automated Employment Decision Tool (AEDT) means a tool used to substantially assist or replace discretionary decision making, either by relying solely on a simplified output, using it as a primary criterion, or using it to overrule other conclusions.","Under Local Law 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them.","Automated Employment Decision Tool. “Automated employment decision tool” or “AEDT” means “Automated employment decision tool” as defined by § 20-870 of the Code where the phrase “to substantially assist or replace discretionary decision making” means:

i. to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or

ii. to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or

iii. to use a simplified output to overrule conclusions derived from other factors including human decision-making."
How can an employer or employment agency provide notice to an employee being considered for promotion about the use of an AEDT?,"The published results of a bias audit must include the date of the most recent bias audit, a summary of the results, the source and explanation of the data used, the number of individuals assessed in unknown categories, the number of applicants or candidates, selection or scoring rates, and the impact ratios for all categories, as well as the distribution date of the AEDT.","Notice can be provided in a written policy or procedure, in a job posting, or via U.S. mail or email at least 10 business days before the use of an AEDT.","(a) Before the use of an AEDT, an employer or employment agency in the city must make the following publicly available on the employment section of their website in a clear and conspicuous manner:

(1) The date of the most recent bias audit of the AEDT and a summary of the results, which shall include the source and explanation of the data used to conduct the bias audit, the number of individuals the AEDT assessed that fall within an unknown category, and the number of applicants or candidates, the selection or scoring rates, as applicable, and the impact ratios for all categories; and,

(2) The distribution date of the AEDT."
How is an AEDT different from traditional decision-making?,"An AEDT uses machine learning, statistical modeling, data analytics, or artificial intelligence to generate predictions or classifications, unlike traditional decision-making tools.","AEDT relies on computer-based techniques to generate predictions or classifications, while traditional decision-making involves human discretion.","Machine learning, statistical modeling, data analytics, or artificial intelligence. �Machine learning, statistical modeling, data analytics, or artificial intelligence� means a group of mathematical, computer-based techniques: i. that generate a prediction, meaning an expected outcome for an observation, such as an assessment of a candidate�s fit or likelihood of success, or that generate a classification, meaning an assignment of an observation to a group, such as categorizations based on skill sets ..."
How does the law address the testing of an automated employment decision tool during a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.",The bias audit includes testing the tool to assess its disparate impact on individuals based on certain characteristics required to be reported by employers.,
Can a vendor do a bias audit of its own tool?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","A vendor can have an independent auditor perform a bias audit, but employers and agencies are ultimately responsible for compliance. Vendors cannot do their own internal audits of their tools.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Can employers use test data for a bias audit if there is insufficient historical data?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Yes, employers can use test data if there is insufficient historical data for a statistically significant bias audit.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
What is the requirement for an employer or employment agency regarding the use of an AEDT after a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit. From 5 July 2023, all employers or employment agencies using an AEDT to evaluate candidates for employment or employees for promotion in NYC must have a bias audit that is less than a year old.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
"What does the term ""Category"" mean under local law 144?","Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","""Category"" refers to any component 1 category required to be reported by employers under section 2000e-8 of title 42 of the United States Code, as specified in part 1602.7 of title 29 of the Code of Federal Regulations.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What penalties apply for violating the requirements of using automated employment decision tools?,"Violations of the law are subject to civil penalties ranging from $500 for the first violation to $1,500 for each subsequent violation.","Civil penalties range from not more than $500 for a first violation to not less than $500 nor more than $1,500 for each subsequent violation, with each day of violation considered a separate violation.","Civil penalties range from not more than $500 for the first violation to not more than $1,500 for each subsequent violation."
how is the impact ratio calculated for continuous systems under local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","For continuous systems, local law 144 requires the scoring rate to first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. The scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate.",
s there a specific requirement for statistical significance in bias audits?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The law does not set a specific requirement for statistical significance. If an independent auditor determines there is insufficient historical data, test data may be used. The summary of results must then explain why test data was used and provide details about the data source.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
"What is the definition of ""Simplified Output""?","""Simplified output"" refers to a prediction or classification that is easy to understand and interpret, intended to facilitate decision-making.","""Simplified output"" refers to a prediction or classification generated by machine learning, statistical modeling, data analytics, or artificial intelligence, such as a score, tag, recommendation, or ranking.",Simplified Output. �Simplified output� means a prediction or classification that is presented in a format that is easy to understand and interpret by the end-user.
how is the impact ratio calculated for classification systems under local law 144?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","For classification systems, local law 144 bias audits must calculate impact ratios by dividing the selection rate for a category by the selection rate of the category with the highest rate",
How does the law address the exclusion of a category from the impact ratio calculations in a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","An independent auditor may exclude a category representing less than 2% of the data, with justification included in the summary of results. The impact ratio for excluded categories does not have to be included in the summary of results but the selection rate or scoring rate should be included, as well as the number of individuals in the excluded category.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
"How is ""Machine learning, statistical modeling, data analytics, or artificial intelligence"" described by local law 144?","Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.","It refers to mathematical, computer-based techniques that generate predictions or classifications and involve a computer identifying inputs, relative importance, and other parameters to improve accuracy.","The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
Who can be an independent auditor?,"An independent auditor must be objective and impartial, with no involvement in the use, development, or distribution of the AEDT, and no financial interest in the entities using or developing the AEDT.","Someone with objective and impartial judgment, not affiliated with the AEDT's development or distribution and without a financial interest in the AEDT or its users.","Independent Auditor. “Independent auditor” means a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if the auditor:

        i. is or was involved in using, developing, or distributing the AEDT;
        ii. at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or

        iii. at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the  AEDT or in a vendor that developed or distributed the AEDT."
Can a vendor be held responsible for a bias audit of the AEDT?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","The responsibility for ensuring a bias audit is done lies with the employers and employment agencies, not the vendor.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Have the metrics for conducting bias audits under local law 144 changed?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Under Local Law 144, an independent auditor must calculate impact ratios, where the metric for calculating impact ratios is different for regression and classification systems.  For classification systems, the impact ratio must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate. This metric has stayed consistent. For regression systems, the scoring rate must first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. Similar to with classification systems, the scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate. However, a previous version of the metric for regression systems did not binarise scores and instead impact ratios were caluclated using the average score of individuals in each category, where the average score of individuals in a category was to be divided by the average score of the category with the highest score.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Are there specific requirements for test data?,"The law allows flexibility for test data, but the summary of results must explain why historical data was not used and describe how the test data was generated and obtained.","No, the Law allows flexibility, but the summary of results must include the source and explanation of the data used in the bias audit.","(b) Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
Can a bias audit use data from another employer's AEDT use?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Yes, but the employer must have provided historical data from its use of the AEDT to the independent auditor conducting the bias audit.",
Who is local law 144 enforced by?,"Local Law 144 of 2021 prohibits the use of AEDTs by employers and employment agencies unless the tool has undergone a bias audit within the past year, the results are publicly available, and required notices have been provided to employees or job candidates.",New York City Local Law 144 is enforced by New York City's Department of Consumer and Worker Protection (DCWP),"The Department of Consumer and Worker Protection (“DCWP” or “Department”) is adding rules to implement new legislation regarding automated employment decision tools (“AEDT”). Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
"What does the term ""Bias Audit"" refer to?","A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","A ""Bias audit"" is an impartial evaluation by an independent auditor, involving testing an AEDT to assess its impact on different categories, such as sex, race/ethnicity, and intersectional categories.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
Must employers publicly share the results of a bias audit?,"A bias audit must be conducted at least once a year for an AEDT. The audit must calculate the selection rate and impact ratio for each category, including sex, race/ethnicity, and intersectional categories.","Yes, they must publish a summary of the most recent bias audit and the AEDT's distribution date.","(a) An employer or employment agency may not use or continue to use an AEDT if more than one year has passed since the most recent bias audit of the AEDT.

        (b) Where an AEDT selects candidates for employment or employees being considered for promotion to move forward in the hiring process or classifies them into groups, a bias audit must, at a minimum:

        (1) Calculate the selection rate for each category;
        (2) Calculate the impact ratio for each category;
        (3) Ensure that the calculations required in paragraphs (1) and (2) of this subdivision separately calculate the impact of the AEDT on:
            i. Sex categories (e.g., impact ratio for selection of male candidates vs female candidates),  
            ii. Race/Ethnicity categories (e.g., impact ratio for selection of Hispanic or Latino candidates vs Black or African American [Not Hispanic or Latino] candidates), and
            iii. intersectional categories of sex, ethnicity, and race (e.g., impact ratio for selection of Hispanic or Latino male candidates vs. Not Hispanic or Latino Black or African American female candidates)."
How does the law address the potential interference with law enforcement investigations?,The law requires employers to provide an explanation if disclosing AEDT data would interfere with a law enforcement investigation.,"Information about data collection and retention policies may not be disclosed if such disclosure would violate local, state, or federal law, or interfere with a law enforcement investigation.","(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
What data should employers use for a bias audit?,"Employers should use historical data if available. If there is insufficient historical data, employers can use test data.","Historical data of the AEDT, which is the data collected during its use to assess candidates for employment or employees for promotion where available. If historical data is not available or not sufficient to conduct a statistically significant bias audit, then test data can be used","(b) Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
What does an employment decision encompass?,"An employment decision includes screening candidates, hiring, promoting, and other selection processes related to employment.",An employment decision includes screening candidates for employment or employees for promotion within the city.,
How is a civil penalty proceeding initiated under local law 144?,"A proceeding to recover civil penalties is retained by the corporation counsel, or such other persons designated by the law department.",A proceeding to recover civil penalties is returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings,The corporation counsel or other persons designated by the law department can initiate actions or proceedings for the collection of civil penalties.
What constitutes an employment decision in the context of this law?,"An employment decision in the context of AEDT involves the use of automated tools to screen candidates, make hiring decisions, promotions, and other related employment processes.",An employment decision involves screening candidates for employment or employees for promotion within the city.,Employment Decision. �Employment decision� means �Employment decision� as defined by � 20-870 of the Code.
What calculations are required in a bias audit for an AEDT that screens candidates or employees for promotion?,"The bias audit must calculate the selection or scoring rates for different categories of candidates, comparing them to identify any disparities.","The bias audit must calculate the selection or scoring rate and impact ratio for each category, considering sex, race/ethnicity, and intersectional categories.",Impact Ratio. �Impact ratio� means either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category.
Do employers or employment agencies have to provide an alternative selection procedure or accommodation?,"The law does not require employers or employment agencies to provide an alternative selection process or accommodation, but they must include instructions on how to request one if available.","The notice given to candidates or employees must include instructions for how an individual can request an alternative selection process or a reasonable accommodation, with no requirement for the employer or agency to provide an alternative selection process.","(a) The notice required by � 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
In what circumstances can information about data collection be withheld upon written request?,"Information about data collection can be withheld if disclosing it would interfere with a law enforcement investigation or violate local, state, or federal law.","Information cannot be disclosed if such disclosure would violate local, state, or federal law, or interfere with a law enforcement investigation.","(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
How many metrics are there for calculating impact ratios?,There are two metrics for calculating impact ratios in a bias audit: selection rate and scoring rate.,"There are two metrics for calculating impact ratios: one for classification systems and one for regression systems. The metric for classification systems uses selection rates and metric for regression systems uses scoring rates. In each case, the rate for a category is divided by the rate for the category with the highest rate.",Impact Ratio. �Impact ratio� means either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category.
How must bias audits be conducted under Local Law 144?,"A bias audit must be an impartial evaluation by an independent auditor, calculating impact ratios for various categories to identify potential biases.","A bias audit under Local LAw 144 is an impartial evaluation by an independent auditor that, at a minimum, must test an automated employment decision tool to assess the toolÕs disparate impact on persons of any component 1 category required to be reported by employers. The bias audit must calculate the selection rate or scoring rate for each category and use these to calculate impact ratios based on the required protected characteristic categories. Bias audits must examine impact ratios based on sex/gender and race/ethnicity at both the standalone level and intersectional level under local law 144. For ethnicity, the categories are Hispanic or Latino, White, Black or African American, Native Hawaiian or Pacific Islander, Asian, Native American or Alaska Native, and two or more races. For sex, categories are male and female. Where gender information is collected instead, the categories are male, female, and optionally other.","Independent Auditor. �Independent auditor� means a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if the auditor: i. is or was involved in using, developing, or distributing the AEDT; ii. at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that devel..."
What does the notice to candidates include regarding alternative selection processes?,What does the notice to candidates include regarding alternative selection processes?,The notice includes instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws.,"The notice must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available."
How can an employer or employment agency provide notice to a candidate for employment about the use of an AEDT?,The notice about the use of an automated employment decision tool must be provided at least 10 business days before its use.,"Notice can be provided on the employment section of the website, in a job posting, or via U.S. mail or email at least 10 business days before the use of an AEDT.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
When must the notice about the use of an automated employment decision tool be provided?,The notice must be given no less than ten business days before the use of the AEDT.,"The notice must be given no less than ten business days before the use of the tool, allowing candidates to request an alternative selection process or accommodation.","(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT; (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or, (3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
Who can conduct bias audits under local law 144?,Bias audits must be conducted by an independent auditor who is capable of exercising objective and impartial judgment on all issues within the scope of the bias audit.,"New york City Local Law 144 bias audits must be conducted by an impartial, independent auditor. This is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT.","Independent Auditor. �Independent auditor� means a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if the auditor: i. is or was involved in using, developing, or distributing the AEDT; ii. at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that ..."
What information must be included in the notice to candidates and employees about AEDT use?,"The notice must include information about the type of data collected, the data retention policy, and how the data will be used.","The notice must include information about the AEDT data retention policy, the type of data collected, and the source of the data.","(d) To comply with � 20-871(b)(3) of the Code, an employer or employment agency must: (1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; (2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information ..."
